Smiles,GGI8,SpMax4_Bhv,SpMax3_Bhm,SHssNH,nHssNH,nHBint6,C3SP3,minaaN,BCUTw-1h,ZMIC2,SpMax1_Bhm,SpMax2_Bhm,piPC3,GGI6,VCH-7,ATSC4i,AATS0m,GGI7,SdssC,AATS8v,SpMin8_Bhv,SpMax8_Bhv,ATS7s,VCH-6,GGI4,nF9Ring,MAXDP,GATS7e,GATS6m,GATS2v,minaaCH,maxHBa,nBase,R_TpiPCTPC,hmax,VC-5,ATSC6m,minHBint6,maxHBint4,MDEC-33,SaasC,VC-3,MDEC-13,BCUTp-1h,VPC-5,ATS0m,AATS7p,MDEO-11,ATSC1m,minwHBa,pIC50
CC(C)N1C2=C(C(=O)N(C2C3=CC=C(C=C3)Cl)C4=CC(=CN(C4=O)C)Cl)N=C1C5=CN=C(N=C5OC)OC,0.862953515,3.551100397,3.898553824,0.0,0.0,0.0,0.0,0.0,34.96985594,37.99920151,4.043689283,3.934339384,5.176149733,1.806712018,0.359529374,50.77238861,136.9307416,1.353316327,5.595998093,184.3627698,1.35513187,2.881242169,709.0308642,0.189031479,3.85,0.0,7.137930339,1.193085405,0.848390009,0.604993296,0.0,14.13793034,0.0,4.570541994,1.034303373,0.271902502,-606.3751323,0.0,0.0,23.68574879,0.0,1.540062416,12.5141788,13.31375654,4.234527833,8489.70598,1.409297318,0.2,116.46181,-0.316672983,9.677780705
Cc1cc(Cl)ccc1C1c2c(nn(-c3ccc(C#N)cc3)c2C(C)C)C(=O)N1c1cccc(Cl)c1F,0.756125598,3.684051064,3.966550781,0.0,0.0,0.0,1.0,4.80795521,34.96985574,41.11105737,4.124750761,3.989911645,5.35835358,1.649115646,0.379052756,20.72649502,139.926829,1.254357993,-0.296813604,184.4109846,1.321442317,2.832794766,643.8518519,0.205780019,3.538888889,0.0,7.486324676,1.212988074,0.819576141,0.785083978,1.693331389,15.48632468,0.0,9.049320081,0.985161429,0.314587253,-459.0128442,0.0,0.0,25.0019871,7.407544939,1.5560191,9.574491171,13.3939173,4.422183642,7975.829253,1.478369995,0.0,66.52271232,-0.324929314,8.161150909
COC[C@@H](C)n1c(-c2cnc(N)nc2OC)nc2c1C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,0.819357836,3.584488728,3.950396949,0.0,0.0,1.0,0.0,4.19889581,34.96985593,38.02618256,4.121014583,3.973125789,5.340538382,1.780634921,0.364131039,47.04666678,130.9380348,1.394132653,-0.13898764,187.2346341,1.361820386,2.846554642,728.6141975,0.194453841,3.698888889,0.0,7.255076074,1.116866442,0.960908377,0.684061677,1.596649554,14.25507607,0.0,8.330709283,0.995908311,0.252126698,-1040.227631,1.242749398,3.313354084,23.68574879,8.272330898,1.450942486,10.23592419,13.29260651,4.139136822,8380.034228,1.433802538,0.0,88.57444002,-0.13898764,9.671620397
COc1ncc(-c2nc3c(n2C(C)C)C([C@H]2CC[C@H](C)CC2)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,0.780816956,3.567256904,3.777407318,0.0,0.0,0.0,2.0,4.327979043,34.9688543,35.82267644,4.111718793,3.972593565,5.233111956,1.628707483,0.463164313,67.02401495,99.71166637,1.275191327,-0.022223657,153.5784322,1.364468413,2.951781068,705.8888889,0.252505866,3.738888889,0.0,7.233427982,1.233000575,1.18364708,0.805083065,1.677322032,14.23342798,0.0,6.966886761,0.815683688,0.291513479,-1815.567526,0.0,0.0,23.68574879,6.912930879,1.689777389,15.11684267,13.25250628,4.832644171,7079.528312,1.309933312,0.0,187.3577011,-0.022223657,9.207608311
COc1ccccc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1OCCN(C)C)C2=O,1.031509826,3.65930883,3.964289353,0.0,0.0,0.0,1.0,5.024299659,34.96985617,41.02026403,4.125346459,3.97817405,5.366559957,2.038684807,0.376265734,20.84361262,116.2278833,1.417552438,-0.107172374,174.7051006,1.388451149,2.932535639,779.7839506,0.205780019,3.578888889,0.0,7.555135073,1.361816176,0.832609837,0.716287936,1.931760898,14.55513507,1.0,7.901178972,0.977209253,0.299655145,-98.68931577,0.0,0.0,26.07241756,10.40931769,1.874852046,14.2565642,13.64180102,4.686143682,8717.091247,1.457249007,0.0,161.0473377,-0.107172374,8.769551079
CC(O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1)c1ccccn1,1.07587711,3.75907237,3.825251673,0.0,0.0,3.0,1.0,4.26769601,34.96885459,38.03965542,4.057516818,3.925270485,5.349485653,2.175011338,0.341729422,35.45128788,115.7107579,1.576566043,-0.496117909,185.2765637,1.285229005,2.973853637,901.404321,0.217731566,3.632777778,1.0,8.675440257,1.105260628,0.881266407,0.858846451,1.239715914,16.67544026,0.0,5.468187398,1.064937948,0.375180827,-372.481085,0.235324205,2.55324366,11.0594395,2.434015281,2.218577903,1.99815848,14.12042889,4.944381243,8215.463809,1.447295908,0.371173202,47.37618998,-0.710364984,8.638272164
COc1cnc(C#N)cc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,0.82364103,3.655597631,3.964141725,0.0,0.0,0.0,1.0,4.164398893,34.9698559,37.76215379,4.127838309,3.981416723,5.396464428,1.937460317,0.391995779,22.12661636,130.4028945,1.35852466,-0.117105633,177.0684618,1.321579288,2.953584124,703.8518519,0.196636141,3.85,0.0,7.295309156,1.353344645,0.954750475,0.695556696,1.533513827,14.29530916,0.0,8.94473664,0.957367432,0.321708429,-1135.436949,0.0,0.0,28.14409423,10.46821845,1.708586005,15.40638722,13.60284751,4.766989932,8215.382356,1.50568811,0.0,101.8049315,-0.117105633,9.573488739
CNc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)c[nH]c2=O)C3=O)c(OC)n1,0.836758314,3.602046786,3.843937661,0.487292942,1.0,0.0,1.0,4.334603073,34.96885436,33.26805548,4.129497825,4.020189091,5.409970542,1.628707483,0.331608007,59.24935103,120.7936314,1.275191327,-0.386602253,182.1419906,1.369791553,2.926802641,707.9403292,0.192934587,3.778888889,0.0,7.027749757,1.300802268,0.965264293,0.718868218,1.598601585,14.02774976,0.0,9.114677506,1.050960679,0.248957536,-674.7382178,0.0,2.700646048,24.07185594,5.354695086,1.350352974,10.22017636,12.94819065,3.878721333,7368.411513,1.388567422,0.2,89.57693343,-0.386602253,9.179798541
COc1ncc(-c2nc3c(n2C(C)C)[C@@H](c2ccc(C#N)c(F)c2)N(c2ccc(F)c(Cl)c2)C3=O)c(OC)n1,0.906549194,3.591188236,3.869160907,0.0,0.0,0.0,0.0,4.199588747,34.96885443,36.4642652,4.118030464,3.987128231,5.409970542,1.859637188,0.339677082,60.68708632,130.6688343,1.462726757,-0.426432814,189.2611562,1.360464614,2.859629777,849.4444444,0.190732324,3.81,0.0,7.000660755,0.976781464,0.951753894,0.664162818,1.249704118,14.8866584,0.0,8.83061899,1.099898541,0.288110555,-672.1898841,0.0,0.0,25.61078797,2.080902924,1.342281975,10.39046353,13.02013177,3.956763057,7840.130056,1.413902569,0.0,94.0809679,-0.707482137,9.356547324
Cc1cc(Cl)ccc1C1c2c(nn(CCN(C)C)c2C(C)C)C(=O)N1c1cccc(Cl)c1F,0.638455845,3.346562528,3.925434209,0.0,0.0,0.0,1.0,4.810413165,34.96985547,35.75054322,4.086530678,3.976149947,5.083730849,1.676190476,0.359375003,14.95975841,125.8188879,1.012152778,-0.216991336,163.1872344,1.321458331,2.78779962,595.0740741,0.183179911,3.231666667,0.0,7.380398904,1.243227138,0.790268277,0.704432883,1.726494436,15.3803989,1.0,5.628586205,0.941193451,0.303899244,103.9289063,0.0,0.0,21.52254612,6.704706102,1.735088612,11.31658267,13.29730685,4.305197235,7549.133274,1.424702971,0.0,102.3942758,-0.282785327,8.091514981
