Smiles,Molecule_ID,pIC50
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3cccc(OC(F)(F)F)c3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,90325602,7.283996656
CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCNC(=O)C1,71655426,7.283996656
COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)cnc32)[C@H]1c1cccc(Cl)c1F,56942233,7.283996656
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3ncccc32)[C@H]1c1cccc(Cl)c1F,56941669,7.283996656
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3ccncc32)[C@H]1c1cccc(Cl)c1F,56941521,7.283996656
CC[C@@H](CN1CCCS1(=O)=O)N1C(=O)[C@](C)(Cc2cccc(O)n2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,58573910,7.279014256
COC1CCN(c2nc3nc(-c4noc(=O)[nH]4)nc(N[C@H](C)C4CCC4)c3n2C[C@H]2CC[C@H](C)CC2)C1,134819418,7.276134036
CO[C@]1(c2ccc(Cl)cc2)c2ccc(C(C)(C)O)cc2C(=O)N1Cc1ccc(Cl)cn1,135282610,7.27572413
CC(O)(CO)c1ccc2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,135281498,7.27572413
O=C(O)c1ccc2c(c1)nc1n2C[C@@H]2[C@H]1[C@@H](c1cccc(Cl)c1F)[C@@]1(C(=O)Nc3cc(Cl)ccc31)N2CC1CC1,129028622,7.27572413
O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ncc32)[C@H]1c1cccc(Cl)c1F,137658356,7.27572413
CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)NCCCO)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,68000104,7.27572413
CC[C@@H](C(=O)N(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,58573705,7.27572413
Cc1cccc(-c2nc3nc(-c4nnn[nH]4)nc(N[C@H](C)C4CC4)c3n2Cc2ccc(C(F)(F)F)cc2)c1,134612377,7.27572413
CCOC(=O)c1cc2nc(N3CCOC[C@H]3c3ccccc3)n(C[C@H]3CC[C@H](C)CC3)c2c(-c2cncc(Cl)c2)n1,90235849,7.27572413
CCOC(=O)c1cc2nc(N3CCOC[C@H]3c3ccccc3)n(CC3CCC(C)CC3)c2c(-c2cncc(Cl)c2)n1,90235849,7.27572413
CC(=O)c1nc(N[C@H](C)C2CCC2)c2c(n1)nc(N1CCOC[C@H]1c1ccccc1)n2C[C@H]1CC[C@H](C)CC1,134612372,7.273435784
COc1cc(C(=O)OC(C)OC(=O)N2CCOCC2)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,71738876,7.27083521
COc1cc(C(=O)OC(C)OC(=O)OC2CCCCC2)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,71738811,7.27083521
COc1cc(C)cc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)c1,90318214,7.27067319
C[C@H]1CC[C@H](Cn2cc(Cc3ccccc3)c3nc(-c4n[nH]c(=O)o4)nc(-c4cncc(Cl)c4)c32)CC1,76684494,7.26760624
CN(C)C(=O)[C@H]1CCCN1c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,90684058,7.26760624
COCOc1ccc(C(C)C)cc1-c1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1Cc1ccc(C(F)(F)F)cc1,77847632,7.264321274
C=CCN(c1nc(C(=O)O)nc2nc(NC(C)c3ccccn3)n(Cc3ccc(C(F)(F)F)cc3)c12)[C@H](C)C1CCC1,90318605,7.260190401
COCCOc1ccc(C)cc1-c1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1Cc1ccc(Cl)cc1,90325391,7.259637311
COc1cc2c(cc1OC(C)C)C(c1ccc(Cl)cc1)N(C1CCC(C(C)(C)O)CC1)C(=O)C2,71145623,7.259637311
Cc1cccc(-c2nc3nc(C(=O)O)nc(N[C@H](CCC(N)=O)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)c1,90317974,7.257117829
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(CC(C)(C)O)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,134819623,7.254925208
Cc1nn(C)cc1CNc1nc2nc(-c3noc(=O)[nH]3)nc(N[C@H](C)C3CCC3)c2n1C[C@H]1CC[C@H](C)CC1,134819413,7.254769015
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCC[C@H](O)CO)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,44606646,7.251811973
CC(C)(C)C[C@@H]1N[C@@H](C(=O)Nc2ccn(CC(C)(C)O)n2)[C@H](c2cccc(Cl)c2F)[C@@]1(C#N)c1ccc(Cl)cc1F,45138355,7.251811973
COc1c(C)cc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)cc1C,90325352,7.250263684
C[C@H]1CC[C@H](Cn2c(N3CCCC4COCCC43)nc3nc(-c4n[nH]c(=O)o4)nc(-c4cccc(Cl)c4)c32)CC1,90319296,7.246493543
C[C@H]1CC[C@H](Cn2ccc3nc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,138404108,7.244125144
O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3nc(Cl)ncc32)[C@H]1c1cccc(Cl)c1F,137639899,7.244125144
COc1cc(C(=O)O)ccc1NC(=O)[C@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)sc32)[C@@H]1c1cccc(Cl)c1F,66760762,7.244125144
C[C@@H](Nc1nc([S+](C)[O-])nc2nc(N3CCOC[C@H]3c3ccccc3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,90317655,7.241239456
